title,views,published
이재룡 3회 적발...임현식은 7회? 방송계 '음주운전 삼진아웃' 명단 #연예인 #연예계소식,4037105,"Mar 8, 2026"
본업보다 더 벌어? 연예인 운영 식당 매출 TOP 10 #연예인 #연예계소식,3921337,"Jan 6, 2026"
"""3,000억 위조 vs 62억 횡령"" 천륜 끊은 스타들의 눈물 #연예인 #연예계소식",3323436,"Feb 26, 2026"
"매출이… 무려 1,300억?! 부울경 음식점 매출 TOP14 #부울경맛집 #매출순위 #국밥맛집 #부산여행 #맛집정보",2492929,"Dec 15, 2025"
5억 연봉 포기! '월가 출신' 연예인의 상상도 못한 전 직업은?? #억대연봉 #삼성 #대기업 #월가 #연예인,2714658,"Dec 11, 2025"
"""존스홉킨스에 상위 0.1%까지?"" 상위 1% 영재 판정받은 스타 2세들 #연예인 #연예계소식 #스타2",2182494,"Mar 11, 2026"
"""10년만에 단역에서 회당 7천만?"" 태양의 후예, 몸값 반전 TOP 10 #안보현 #연예인 #연예계소식",1954514,"Mar 30, 2026"
BTS 정국을 예선탈락시킨 곳? 놀라운 슈퍼스타K 출신 연예인 #연예인 #슈스케,1654967,"Feb 27, 2026"
2002년 월드컵 4강 주역들과 2026 월클의 소름 돋는 몸값 차이 #월드컵 #축구 #축구선수 선수,1874135,"Feb 3, 2026"
"""JYP서 번 20억, 다 증발했다고?"" 잘나갔던 스타들 충격 근황 TOP10 #량현량하  #연예인 #연예계소식",1775823,"Apr 7, 2026"
130억 청구부터 양육비 0원 논란까지... 연예인 충격의 진흙탕 폭로 TOP 9 #연예인 #연예계소식 #동호,1624227,"Mar 4, 2026"
"""드라마 남주가 쿠팡 상하차를?"" 생계 위해 투잡 뛰는 연예인 TOP 10 #연예인 #연예계소식 #임주환",1405575,"Feb 27, 2026"
2PM에서 쫓겨난 소년이 레이블 수장? 연예계 '부활의 아이콘' TOP 10 #연예인 #연예계소식,1309316,"Feb 10, 2026"
"""서프라이즈 장동건이 4평 원룸?"" 예상 밖 근황 공개한 스타 10인 #연예인 #연예계소식",1390041,"Mar 18, 2026"
거절 한 번에 3조원이 증발? 글로벌 대박 놓친 캐스팅 잔혹사 #연예인 #연예계소식,1350084,"Jan 3, 2026"
"""뷔 600억보다 리사가 더 많다?"" 블핑·BTS 멤버별 추정 자산 총정리 #연예인 #연예계소식",1213785,"Mar 18, 2026"
제복 벗고 대박 난 스타들놀라운 항공사 이력 있는 연예인들 #연예인 #연예계소식,1293617,"Mar 8, 2026"
"원빈, 정종철이 친구라고? 연예인 의외의 동갑내기들 #연예인 #연예계소식",1205479,"Jan 15, 2026"
역주행 '아파트' 윤수일이 혼혈? 놀라운 다문화 혼혈 스타 TOP10 #연예인 #연예계소식,1164392,"Mar 5, 2026"
"91년 '실세 양원경' vs '무명 유재석', 지금 자산은 1000배 차이?",1131571,"Feb 13, 2026"
